"X","fid","gridID","x","y","deploy_date","ended_date","siteID","year","site_year","total_days","n_occasions"
1,1,"C1001",524363.2767,3152983.214,2017-01-01,2017-01-30,"ST019",2017,"ST019_2017",30,6
2,2,"C1001",524363.2767,3152983.214,2018-01-10,2018-02-10,"ST019",2018,"ST019_2018",32,7
3,3,"C1001",524363.2767,3152983.214,2021-01-01,2021-02-01,"ST019",2021,"ST019_2021",32,7
4,4,"C1002",526363.2767,3158983.214,2017-01-01,2017-01-30,"ST027",2017,"ST027_2017",30,6
5,5,"C1002",526363.2767,3158983.214,2018-01-10,2018-02-10,"ST027",2018,"ST027_2018",32,7
6,6,"C1002",526363.2767,3158983.214,2021-01-01,2021-02-01,"ST027",2021,"ST027_2021",32,7
7,7,"C1003",530363.2767,3164983.214,2017-01-01,2017-01-30,"ST048",2017,"ST048_2017",30,6
8,8,"C1003",530363.2767,3164983.214,2018-01-10,2018-02-10,"ST048",2018,"ST048_2018",32,7
9,9,"C1003",530363.2767,3164983.214,2021-01-01,2021-02-01,"ST048",2021,"ST048_2021",32,7
10,10,"C1004",534363.2767,3158983.214,2017-01-02,2017-01-31,"ST072",2017,"ST072_2017",30,6
11,11,"C1004",534363.2767,3158983.214,2018-01-05,2018-02-10,"ST072",2018,"ST072_2018",37,8
12,12,"C1004",534363.2767,3158983.214,2021-01-01,2021-02-01,"ST072",2021,"ST072_2021",32,7
13,13,"C1005",536363.2767,3162983.214,2017-01-02,2017-01-31,"ST083",2017,"ST083_2017",30,6
14,14,"C1005",536363.2767,3162983.214,2018-01-10,2018-02-10,"ST083",2018,"ST083_2018",32,7
15,15,"C1005",536363.2767,3162983.214,2021-01-01,2021-02-01,"ST083",2021,"ST083_2021",32,7
16,16,"C1006",536363.2767,3150983.214,2017-01-02,2017-01-31,"ST089",2017,"ST089_2017",30,6
17,17,"C1006",536363.2767,3150983.214,2018-01-10,2018-02-10,"ST089",2018,"ST089_2018",32,7
18,18,"C1006",536363.2767,3150983.214,2021-01-01,2021-02-01,"ST089",2021,"ST089_2021",32,7
19,19,"C1007",540363.2767,3156983.214,2017-01-02,2017-01-31,"ST112",2017,"ST112_2017",30,6
20,20,"C1007",540363.2767,3156983.214,2018-01-10,2018-02-10,"ST112",2018,"ST112_2018",32,7
21,21,"C1007",540363.2767,3156983.214,2021-01-03,2021-02-04,"ST112",2021,"ST112_2021",33,7
22,22,"C1008",540363.2767,3146983.214,2017-01-02,2017-01-31,"ST117",2017,"ST117_2017",30,6
23,23,"C1008",540363.2767,3146983.214,2018-01-10,2018-02-10,"ST117",2018,"ST117_2018",32,7
24,24,"C1008",540363.2767,3146983.214,2021-01-03,2021-02-04,"ST117",2021,"ST117_2021",33,7
