gridID,x,y,deploy_date,ended_date
C1001,524363.2767,3152983.214,1/1/2017,1/30/2017
C1001,524363.2767,3152983.214,1/10/2018,2/10/2018
C1001,524363.2767,3152983.214,1/1/2021,2/1/2021
C1002,526363.2767,3158983.214,1/1/2017,1/30/2017
C1002,526363.2767,3158983.214,1/10/2018,2/10/2018
C1002,526363.2767,3158983.214,1/1/2021,2/1/2021
C1003,530363.2767,3164983.214,1/1/2017,1/30/2017
C1003,530363.2767,3164983.214,1/10/2018,2/10/2018
C1003,530363.2767,3164983.214,1/1/2021,2/1/2021
C1004,534363.2767,3158983.214,1/2/2017,1/31/2017
C1004,534363.2767,3158983.214,1/5/2018,2/10/2018
C1004,534363.2767,3158983.214,1/1/2021,2/1/2021
C1005,536363.2767,3162983.214,1/2/2017,1/31/2017
C1005,536363.2767,3162983.214,1/10/2018,2/10/2018
C1005,536363.2767,3162983.214,1/1/2021,2/1/2021
C1006,536363.2767,3150983.214,1/2/2017,1/31/2017
C1006,536363.2767,3150983.214,1/10/2018,2/10/2018
C1006,536363.2767,3150983.214,1/1/2021,2/1/2021
C1007,540363.2767,3156983.214,1/2/2017,1/31/2017
C1007,540363.2767,3156983.214,1/10/2018,2/10/2018
C1007,540363.2767,3156983.214,1/3/2021,2/4/2021
C1008,540363.2767,3146983.214,1/2/2017,1/31/2017
C1008,540363.2767,3146983.214,1/10/2018,2/10/2018
C1008,540363.2767,3146983.214,1/3/2021,2/4/2021
C1009,544363.2767,3150983.214,1/1/2017,2/3/2017
C1009,544363.2767,3150983.214,1/11/2018,2/12/2018
C1009,544363.2767,3150983.214,1/3/2021,2/4/2021
C1010,544363.2767,3142983.214,1/1/2017,2/3/2017
C1010,544363.2767,3142983.214,1/11/2018,2/12/2018
C1010,544363.2767,3142983.214,1/3/2021,2/4/2021
C1011,548363.2767,3146983.214,1/5/2017,2/6/2017
C1011,548363.2767,3146983.214,1/5/2018,2/12/2018
C1011,548363.2767,3146983.214,1/3/2021,2/4/2021
C1012,548363.2767,3138983.214,1/5/2017,2/6/2017
C1012,548363.2767,3138983.214,1/11/2018,2/12/2018
C1012,548363.2767,3138983.214,1/1/2021,2/4/2021
C1013,550363.2767,3148983.214,1/5/2017,2/6/2017
C1013,550363.2767,3148983.214,1/11/2018,2/12/2018
C1013,550363.2767,3148983.214,1/3/2021,2/4/2021
C1014,550363.2767,3134983.214,1/5/2017,2/6/2017
C1014,550363.2767,3134983.214,1/11/2018,2/12/2018
C1014,550363.2767,3134983.214,1/3/2021,2/4/2021
C1015,552363.2767,3142983.214,1/2/2017,2/6/2017
C1015,552363.2767,3142983.214,1/11/2018,2/12/2018
C1015,552363.2767,3142983.214,1/4/2021,2/5/2021
C1016,554363.2767,3136983.214,1/5/2017,2/6/2017
C1016,554363.2767,3136983.214,1/11/2018,2/12/2018
C1016,554363.2767,3136983.214,1/4/2021,2/5/2021
C1017,556363.2767,3146983.214,1/5/2017,2/6/2017
C1017,556363.2767,3146983.214,1/10/2018,2/13/2018
C1017,556363.2767,3146983.214,1/4/2021,2/5/2021
C1018,558363.2767,3132983.214,1/5/2017,2/6/2017
C1018,558363.2767,3132983.214,1/12/2018,2/13/2018
C1018,558363.2767,3132983.214,1/4/2021,2/5/2021
C1019,560363.2767,3140983.214,1/6/2017,2/7/2017
C1019,560363.2767,3140983.214,1/12/2018,2/13/2018
C1019,560363.2767,3140983.214,1/4/2021,2/5/2021
C1020,562363.2767,3134983.214,1/6/2017,2/7/2017
C1020,562363.2767,3134983.214,1/12/2018,2/13/2018
C1020,562363.2767,3134983.214,1/4/2021,2/5/2021
