"","site_year","year","occ_1","occ_2","occ_3","occ_4","occ_5","occ_6","occ_7","occ_8"
"1","ST019_2017",2017,5,5,5,5,5,5,NA,NA
"2","ST019_2018",2018,5,5,5,5,5,5,2,NA
"3","ST019_2021",2021,5,5,5,5,5,5,2,NA
"4","ST027_2017",2017,5,5,5,5,5,5,NA,NA
"5","ST027_2018",2018,5,5,5,5,5,5,2,NA
"6","ST027_2021",2021,5,5,5,5,5,5,2,NA
"7","ST048_2017",2017,5,5,5,5,5,5,NA,NA
"8","ST048_2018",2018,5,5,5,5,5,5,2,NA
"9","ST048_2021",2021,5,5,5,5,5,5,2,NA
"10","ST072_2017",2017,5,5,5,5,5,5,NA,NA
"11","ST072_2018",2018,5,5,5,5,5,5,5,2
"12","ST072_2021",2021,5,5,5,5,5,5,2,NA
"13","ST083_2017",2017,5,5,5,5,5,5,NA,NA
"14","ST083_2018",2018,5,5,5,5,5,5,2,NA
"15","ST083_2021",2021,5,5,5,5,5,5,2,NA
"16","ST089_2017",2017,5,5,5,5,5,5,NA,NA
"17","ST089_2018",2018,5,5,5,5,5,5,2,NA
"18","ST089_2021",2021,5,5,5,5,5,5,2,NA
"19","ST112_2017",2017,5,5,5,5,5,5,NA,NA
"20","ST112_2018",2018,5,5,5,5,5,5,2,NA
"21","ST112_2021",2021,5,5,5,5,5,5,3,NA
"22","ST117_2017",2017,5,5,5,5,5,5,NA,NA
"23","ST117_2018",2018,5,5,5,5,5,5,2,NA
"24","ST117_2021",2021,5,5,5,5,5,5,3,NA
"25","ST141_2017",2017,5,5,5,5,5,5,4,NA
"26","ST141_2018",2018,5,5,5,5,5,5,3,NA
"27","ST141_2021",2021,5,5,5,5,5,5,3,NA
"28","ST145_2017",2017,5,5,5,5,5,5,4,NA
"29","ST145_2018",2018,5,5,5,5,5,5,3,NA
"30","ST145_2021",2021,5,5,5,5,5,5,3,NA
"31","ST169_2017",2017,5,5,5,5,5,5,3,NA
"32","ST169_2018",2018,5,5,5,5,5,5,5,4
"33","ST169_2021",2021,5,5,5,5,5,5,3,NA
"34","ST173_2017",2017,5,5,5,5,5,5,3,NA
"35","ST173_2018",2018,5,5,5,5,5,5,3,NA
"36","ST173_2021",2021,5,5,5,5,5,5,5,NA
"37","ST181_2017",2017,5,5,5,5,5,5,3,NA
"38","ST181_2018",2018,5,5,5,5,5,5,3,NA
"39","ST181_2021",2021,5,5,5,5,5,5,3,NA
"40","ST188_2017",2017,5,5,5,5,5,5,3,NA
"41","ST188_2018",2018,5,5,5,5,5,5,3,NA
"42","ST188_2021",2021,5,5,5,5,5,5,3,NA
"43","ST196_2017",2017,5,5,5,5,5,5,5,1
"44","ST196_2018",2018,5,5,5,5,5,5,3,NA
"45","ST196_2021",2021,5,5,5,5,5,5,3,NA
"46","ST211_2017",2017,5,5,5,5,5,5,3,NA
"47","ST211_2018",2018,5,5,5,5,5,5,3,NA
"48","ST211_2021",2021,5,5,5,5,5,5,3,NA
"49","ST217_2017",2017,5,5,5,5,5,5,3,NA
"50","ST217_2018",2018,5,5,5,5,5,5,5,NA
"51","ST217_2021",2021,5,5,5,5,5,5,3,NA
"52","ST235_2017",2017,5,5,5,5,5,5,3,NA
"53","ST235_2018",2018,5,5,5,5,5,5,3,NA
"54","ST235_2021",2021,5,5,5,5,5,5,3,NA
"55","ST241_2017",2017,5,5,5,5,5,5,3,NA
"56","ST241_2018",2018,5,5,5,5,5,5,3,NA
"57","ST241_2021",2021,5,5,5,5,5,5,3,NA
"58","ST253_2017",2017,5,5,5,5,5,5,3,NA
"59","ST253_2018",2018,5,5,5,5,5,5,3,NA
"60","ST253_2021",2021,5,5,5,5,5,5,3,NA
