fid,id,left,top,right,bottom,row_index,col_index,siteID,grid_x,grid_y,per_fl_2017,per_fl_2018,per_fl_2021,per_fc_2017_Per_fc_207mean,per_fc_2018_Per_fc_2018mean,per_fc_2021_Per_fc_2021mean,fl_2017_fl_2017sum,fl_2018_fl_2018sum,fl_2021_fl_2021sum,countcount
54,54,523363.2767,3153983.2141,525363.2767,3151983.2141,9,2,ST019,524363.2767,3152983.2141,0,0,0,38.1495844875346,38.1495844875346,38.1495844875346,0,0,0,5776
73,73,525363.2767,3159983.2141,527363.2767,3157983.2141,6,3,ST027,526363.2767,3158983.2141,0.596491228070175,0.596491228070175,0.596491228070175,59.3621052631579,59.3621052631579,59.3621052631579,34,34,34,5700
114,114,529363.2767,3165983.2141,531363.2767,3163983.2141,3,5,ST048,530363.2767,3164983.2141,0.0692520775623269,0.0692520775623269,0.0692520775623269,73.0025969529086,73.0025969529086,73.0025969529086,4,4,4,5776
161,161,533363.2767,3159983.2141,535363.2767,3157983.2141,6,7,ST072,534363.2767,3158983.2141,0.0175438596491228,0.0175438596491228,0.0175438596491228,80.1685964912281,80.1685964912281,80.1685964912281,1,1,1,5700
181,181,535363.2767,3163983.2141,537363.2767,3161983.2141,4,8,ST083,536363.2767,3162983.2141,0.368421052631579,0.368421052631579,0.666666666666667,75.4259649122807,75.4259649122807,75.159649122807,21,21,38,5700
187,187,535363.2767,3151983.2141,537363.2767,3149983.2141,10,8,ST089,536363.2767,3150983.2141,0.12280701754386,0.12280701754386,0.12280701754386,71.3685964912281,71.3685964912281,71.3685964912281,7,7,7,5700
228,228,539363.2767,3157983.2141,541363.2767,3155983.2141,7,10,ST112,540363.2767,3156983.2141,0,0,0,79.7619555555556,79.7619555555556,79.7619555555556,0,0,0,5625
233,233,539363.2767,3147983.2141,541363.2767,3145983.2141,12,10,ST117,540363.2767,3146983.2141,0.385964912280702,0.385964912280702,0.385964912280702,58.4221052631579,58.4221052631579,58.4221052631579,22,22,22,5700
275,275,543363.2767,3151983.2141,545363.2767,3149983.2141,10,12,ST141,544363.2767,3150983.2141,0,0,0,73.4323555555556,73.4323555555556,73.4323555555556,0,0,0,5625
279,279,543363.2767,3143983.2141,545363.2767,3141983.2141,14,12,ST145,544363.2767,3142983.2141,0.142222222222222,0.142222222222222,0.142222222222222,63.8432,63.8432,63.8432,8,8,8,5625
321,321,547363.2767,3147983.2141,549363.2767,3145983.2141,12,14,ST169,548363.2767,3146983.2141,1.02146814404432,1.02146814404432,1.02146814404432,62.2988227146814,62.2988227146814,62.2988227146814,59,59,59,5776
325,325,547363.2767,3139983.2141,549363.2767,3137983.2141,16,14,ST173,548363.2767,3138983.2141,0.0350877192982456,0.0350877192982456,0.0350877192982456,52.4382456140351,52.4382456140351,52.4382456140351,2,2,2,5700
342,342,549363.2767,3149983.2141,551363.2767,3147983.2141,11,15,ST181,550363.2767,3148983.2141,0.0711111111111111,0.0711111111111111,0.0711111111111111,70.8563555555556,70.8563555555556,70.8563555555556,4,4,4,5625
349,349,549363.2767,3135983.2141,551363.2767,3133983.2141,18,15,ST188,550363.2767,3134983.2141,0,0,0,52.5166666666667,52.5166666666667,52.5166666666667,0,0,0,5700
367,367,551363.2767,3143983.2141,553363.2767,3141983.2141,14,16,ST196,552363.2767,3142983.2141,0.0177777777777778,0.0177777777777778,0.0177777777777778,69.6280888888889,69.6280888888889,69.6280888888889,1,1,1,5625
392,392,553363.2767,3137983.2141,555363.2767,3135983.2141,17,17,ST211,554363.2767,3136983.2141,0.280701754385965,0.280701754385965,0.280701754385965,58.6842105263158,58.6842105263158,58.6842105263158,16,16,16,5700
409,409,555363.2767,3147983.2141,557363.2767,3145983.2141,12,18,ST217,556363.2767,3146983.2141,0.333333333333333,0.333333333333333,0.333333333333333,72.1470175438596,72.1470175438596,72.1470175438596,19,19,19,5700
438,438,557363.2767,3133983.2141,559363.2767,3131983.2141,19,19,ST235,558363.2767,3132983.2141,0.106666666666667,0.106666666666667,0.106666666666667,46.6060444444444,46.6060444444444,46.6060444444444,6,6,6,5625
456,456,559363.2767,3141983.2141,561363.2767,3139983.2141,15,20,ST241,560363.2767,3140983.2141,1.78324099722992,1.78324099722992,1.8005540166205,54.079120498615,54.079120498615,54.069771468144,103,103,104,5776
481,481,561363.2767,3135983.2141,563363.2767,3133983.2141,18,21,ST253,562363.2767,3134983.2141,0.298245614035088,0.298245614035088,0.298245614035088,68.6422807017544,68.6422807017544,68.6422807017544,17,17,17,5700
