"site_year","occ_1","occ_2","occ_3","occ_4","occ_5","occ_6","occ_7","occ_8"
"ST019_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST019_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST019_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST027_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST027_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST027_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST048_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST048_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST048_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST072_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST072_2018",2018,2018,2018,2018,2018,2018,2018,2018
"ST072_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST083_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST083_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST083_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST089_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST089_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST089_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST112_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST112_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST112_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST117_2017",2017,2017,2017,2017,2017,2017,NA,NA
"ST117_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST117_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST141_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST141_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST141_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST145_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST145_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST145_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST169_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST169_2018",2018,2018,2018,2018,2018,2018,2018,2018
"ST169_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST173_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST173_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST173_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST181_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST181_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST181_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST188_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST188_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST188_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST196_2017",2017,2017,2017,2017,2017,2017,2017,2017
"ST196_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST196_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST211_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST211_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST211_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST217_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST217_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST217_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST235_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST235_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST235_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST241_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST241_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST241_2021",2021,2021,2021,2021,2021,2021,2021,NA
"ST253_2017",2017,2017,2017,2017,2017,2017,2017,NA
"ST253_2018",2018,2018,2018,2018,2018,2018,2018,NA
"ST253_2021",2021,2021,2021,2021,2021,2021,2021,NA
